date,CAN_unscaled,CAN_monthly,isPartial,scale,CAN
2017-06-01,92,64.0,False,0.64,58.88
2017-06-02,89,64.0,,0.64,56.96
2017-06-03,95,64.0,,0.64,60.800000000000004
2017-06-04,96,64.0,,0.64,61.44
2017-06-05,92,64.0,,0.64,58.88
2017-06-06,91,64.0,,0.64,58.24
2017-06-07,94,64.0,,0.64,60.160000000000004
2017-06-08,92,64.0,,0.64,58.88
2017-06-09,89,64.0,,0.64,56.96
2017-06-10,94,64.0,,0.64,60.160000000000004
2017-06-11,99,64.0,,0.64,63.36
2017-06-12,91,64.0,,0.64,58.24
2017-06-13,92,64.0,,0.64,58.88
2017-06-14,93,64.0,,0.64,59.52
2017-06-15,94,64.0,,0.64,60.160000000000004
2017-06-16,92,64.0,,0.64,58.88
2017-06-17,98,64.0,,0.64,62.72
2017-06-18,98,64.0,,0.64,62.72
2017-06-19,93,64.0,,0.64,59.52
2017-06-20,96,64.0,,0.64,61.44
2017-06-21,94,64.0,,0.64,60.160000000000004
2017-06-22,94,64.0,,0.64,60.160000000000004
2017-06-23,94,64.0,,0.64,60.160000000000004
2017-06-24,100,64.0,,0.64,64.0
2017-06-25,100,64.0,,0.64,64.0
2017-06-26,97,64.0,,0.64,62.08
2017-06-27,98,64.0,,0.64,62.72
2017-06-28,98,64.0,,0.64,62.72
2017-06-29,94,64.0,,0.64,60.160000000000004
2017-06-30,98,64.0,,0.64,62.72
2017-07-01,93,66.0,False,0.66,61.38
2017-07-02,96,66.0,,0.66,63.36
2017-07-03,97,66.0,,0.66,64.02
2017-07-04,97,66.0,,0.66,64.02
2017-07-05,90,66.0,,0.66,59.400000000000006
2017-07-06,89,66.0,,0.66,58.74
2017-07-07,90,66.0,,0.66,59.400000000000006
2017-07-08,93,66.0,,0.66,61.38
2017-07-09,96,66.0,,0.66,63.36
2017-07-10,91,66.0,,0.66,60.06
2017-07-11,94,66.0,,0.66,62.040000000000006
2017-07-12,94,66.0,,0.66,62.040000000000006
2017-07-13,91,66.0,,0.66,60.06
2017-07-14,93,66.0,,0.66,61.38
2017-07-15,98,66.0,,0.66,64.68
2017-07-16,98,66.0,,0.66,64.68
2017-07-17,93,66.0,,0.66,61.38
2017-07-18,93,66.0,,0.66,61.38
2017-07-19,96,66.0,,0.66,63.36
2017-07-20,91,66.0,,0.66,60.06
2017-07-21,93,66.0,,0.66,61.38
2017-07-22,93,66.0,,0.66,61.38
2017-07-23,100,66.0,,0.66,66.0
2017-07-24,94,66.0,,0.66,62.040000000000006
2017-07-25,93,66.0,,0.66,61.38
2017-07-26,95,66.0,,0.66,62.7
2017-07-27,92,66.0,,0.66,60.720000000000006
2017-07-28,91,66.0,,0.66,60.06
2017-07-29,96,66.0,,0.66,63.36
2017-07-30,95,66.0,,0.66,62.7
2017-07-31,94,66.0,,0.66,62.040000000000006
2017-08-01,67,66.0,False,0.66,44.22
2017-08-02,69,66.0,,0.66,45.54
2017-08-03,65,66.0,,0.66,42.9
2017-08-04,65,66.0,,0.66,42.9
2017-08-05,69,66.0,,0.66,45.54
2017-08-06,69,66.0,,0.66,45.54
2017-08-07,66,66.0,,0.66,43.56
2017-08-08,65,66.0,,0.66,42.9
2017-08-09,67,66.0,,0.66,44.22
2017-08-10,67,66.0,,0.66,44.22
2017-08-11,65,66.0,,0.66,42.9
2017-08-12,67,66.0,,0.66,44.22
2017-08-13,70,66.0,,0.66,46.2
2017-08-14,66,66.0,,0.66,43.56
2017-08-15,67,66.0,,0.66,44.22
2017-08-16,65,66.0,,0.66,42.9
2017-08-17,68,66.0,,0.66,44.88
2017-08-18,69,66.0,,0.66,45.54
2017-08-19,71,66.0,,0.66,46.86
2017-08-20,77,66.0,,0.66,50.82
2017-08-21,100,66.0,,0.66,66.0
2017-08-22,68,66.0,,0.66,44.88
2017-08-23,67,66.0,,0.66,44.22
2017-08-24,67,66.0,,0.66,44.22
2017-08-25,63,66.0,,0.66,41.580000000000005
2017-08-26,68,66.0,,0.66,44.88
2017-08-27,65,66.0,,0.66,42.9
2017-08-28,61,66.0,,0.66,40.260000000000005
2017-08-29,64,66.0,,0.66,42.24
2017-08-30,64,66.0,,0.66,42.24
2017-08-31,64,66.0,,0.66,42.24
2017-09-01,90,63.0,False,0.63,56.7
2017-09-02,91,63.0,,0.63,57.33
2017-09-03,97,63.0,,0.63,61.11
2017-09-04,95,63.0,,0.63,59.85
2017-09-05,86,63.0,,0.63,54.18
2017-09-06,89,63.0,,0.63,56.07
2017-09-07,88,63.0,,0.63,55.44
2017-09-08,84,63.0,,0.63,52.92
2017-09-09,87,63.0,,0.63,54.81
2017-09-10,90,63.0,,0.63,56.7
2017-09-11,88,63.0,,0.63,55.44
2017-09-12,91,63.0,,0.63,57.33
2017-09-13,92,63.0,,0.63,57.96
2017-09-14,93,63.0,,0.63,58.59
2017-09-15,90,63.0,,0.63,56.7
2017-09-16,94,63.0,,0.63,59.22
2017-09-17,99,63.0,,0.63,62.37
2017-09-18,90,63.0,,0.63,56.7
2017-09-19,94,63.0,,0.63,59.22
2017-09-20,93,63.0,,0.63,58.59
2017-09-21,91,63.0,,0.63,57.33
2017-09-22,92,63.0,,0.63,57.96
2017-09-23,93,63.0,,0.63,58.59
2017-09-24,97,63.0,,0.63,61.11
2017-09-25,94,63.0,,0.63,59.22
2017-09-26,100,63.0,,0.63,63.0
2017-09-27,95,63.0,,0.63,59.85
2017-09-28,91,63.0,,0.63,57.33
2017-09-29,90,63.0,,0.63,56.7
2017-09-30,95,63.0,,0.63,59.85
2017-10-01,97,61.0,False,0.61,59.17
2017-10-02,93,61.0,,0.61,56.73
2017-10-03,93,61.0,,0.61,56.73
2017-10-04,92,61.0,,0.61,56.12
2017-10-05,93,61.0,,0.61,56.73
2017-10-06,91,61.0,,0.61,55.51
2017-10-07,90,61.0,,0.61,54.9
2017-10-08,98,61.0,,0.61,59.78
2017-10-09,93,61.0,,0.61,56.73
2017-10-10,94,61.0,,0.61,57.339999999999996
2017-10-11,91,61.0,,0.61,55.51
2017-10-12,92,61.0,,0.61,56.12
2017-10-13,87,61.0,,0.61,53.07
2017-10-14,93,61.0,,0.61,56.73
2017-10-15,100,61.0,,0.61,61.0
2017-10-16,98,61.0,,0.61,59.78
2017-10-17,96,61.0,,0.61,58.56
2017-10-18,94,61.0,,0.61,57.339999999999996
2017-10-19,94,61.0,,0.61,57.339999999999996
2017-10-20,91,61.0,,0.61,55.51
2017-10-21,94,61.0,,0.61,57.339999999999996
2017-10-22,97,61.0,,0.61,59.17
2017-10-23,96,61.0,,0.61,58.56
2017-10-24,94,61.0,,0.61,57.339999999999996
2017-10-25,95,61.0,,0.61,57.949999999999996
2017-10-26,98,61.0,,0.61,59.78
2017-10-27,91,61.0,,0.61,55.51
2017-10-28,94,61.0,,0.61,57.339999999999996
2017-10-29,96,61.0,,0.61,58.56
2017-10-30,92,61.0,,0.61,56.12
2017-10-31,91,61.0,,0.61,55.51
2017-11-01,85,64.0,False,0.64,54.4
2017-11-02,89,64.0,,0.64,56.96
2017-11-03,91,64.0,,0.64,58.24
2017-11-04,92,64.0,,0.64,58.88
2017-11-05,93,64.0,,0.64,59.52
2017-11-06,91,64.0,,0.64,58.24
2017-11-07,94,64.0,,0.64,60.160000000000004
2017-11-08,89,64.0,,0.64,56.96
2017-11-09,89,64.0,,0.64,56.96
2017-11-10,94,64.0,,0.64,60.160000000000004
2017-11-11,92,64.0,,0.64,58.88
2017-11-12,94,64.0,,0.64,60.160000000000004
2017-11-13,90,64.0,,0.64,57.6
2017-11-14,94,64.0,,0.64,60.160000000000004
2017-11-15,95,64.0,,0.64,60.800000000000004
