date,EDIT_unscaled,EDIT_monthly,isPartial,scale,EDIT
2017-09-21,86,60.0,,0.6,51.6
2017-09-22,87,60.0,,0.6,52.199999999999996
2017-09-23,64,60.0,,0.6,38.4
2017-09-24,66,60.0,,0.6,39.6
2017-09-25,83,60.0,,0.6,49.8
2017-09-26,98,60.0,,0.6,58.8
2017-09-27,89,60.0,,0.6,53.4
2017-09-28,85,60.0,,0.6,51.0
2017-09-29,75,60.0,,0.6,45.0
2017-09-30,68,60.0,,0.6,40.8
2017-10-01,70,62.0,False,0.62,43.4
2017-10-02,82,62.0,,0.62,50.839999999999996
2017-10-03,87,62.0,,0.62,53.94
2017-10-04,93,62.0,,0.62,57.66
2017-10-05,95,62.0,,0.62,58.9
2017-10-06,90,62.0,,0.62,55.8
2017-10-07,69,62.0,,0.62,42.78
2017-10-08,67,62.0,,0.62,41.54
2017-10-09,87,62.0,,0.62,53.94
2017-10-10,92,62.0,,0.62,57.04
2017-10-11,100,62.0,,0.62,62.0
2017-10-12,100,62.0,,0.62,62.0
2017-10-13,90,62.0,,0.62,55.8
2017-10-14,63,62.0,,0.62,39.06
2017-10-15,66,62.0,,0.62,40.92
2017-10-16,91,62.0,,0.62,56.42
2017-10-17,97,62.0,,0.62,60.14
2017-10-18,100,62.0,,0.62,62.0
2017-10-19,90,62.0,,0.62,55.8
2017-10-20,84,62.0,,0.62,52.08
2017-10-21,65,62.0,,0.62,40.3
2017-10-22,69,62.0,,0.62,42.78
2017-10-23,98,62.0,,0.62,60.76
2017-10-24,94,62.0,,0.62,58.28
2017-10-25,96,62.0,,0.62,59.519999999999996
2017-10-26,94,62.0,,0.62,58.28
2017-10-27,81,62.0,,0.62,50.22
2017-10-28,61,62.0,,0.62,37.82
2017-10-29,72,62.0,,0.62,44.64
2017-10-30,86,62.0,,0.62,53.32
2017-10-31,89,62.0,,0.62,55.18
2017-11-01,84,60.0,False,0.6,50.4
2017-11-02,99,60.0,,0.6,59.4
2017-11-03,84,60.0,,0.6,50.4
2017-11-04,69,60.0,,0.6,41.4
2017-11-05,67,60.0,,0.6,40.199999999999996
2017-11-06,97,60.0,,0.6,58.199999999999996
2017-11-07,97,60.0,,0.6,58.199999999999996
2017-11-08,96,60.0,,0.6,57.599999999999994
2017-11-09,94,60.0,,0.6,56.4
2017-11-10,89,60.0,,0.6,53.4
2017-11-11,67,60.0,,0.6,40.199999999999996
2017-11-12,76,60.0,,0.6,45.6
2017-11-13,95,60.0,,0.6,57.0
2017-11-14,96,60.0,,0.6,57.599999999999994
2017-11-15,98,60.0,,0.6,58.8
2017-11-16,99,60.0,,0.6,59.4
2017-11-17,86,60.0,,0.6,51.6
2017-11-18,67,60.0,,0.6,40.199999999999996
2017-11-19,69,60.0,,0.6,41.4
2017-11-20,85,60.0,,0.6,51.0
2017-11-21,86,60.0,,0.6,51.6
2017-11-22,78,60.0,,0.6,46.8
2017-11-23,67,60.0,,0.6,40.199999999999996
2017-11-24,64,60.0,,0.6,38.4
2017-11-25,64,60.0,,0.6,38.4
2017-11-26,75,60.0,,0.6,45.0
2017-11-27,88,60.0,,0.6,52.8
2017-11-28,92,60.0,,0.6,55.199999999999996
2017-11-29,100,60.0,,0.6,60.0
2017-11-30,96,60.0,,0.6,57.599999999999994
2017-12-01,84,57.0,False,0.57,47.879999999999995
2017-12-02,76,57.0,,0.57,43.31999999999999
2017-12-03,78,57.0,,0.57,44.459999999999994
2017-12-04,95,57.0,,0.57,54.15
2017-12-05,99,57.0,,0.57,56.42999999999999
2017-12-06,94,57.0,,0.57,53.58
2017-12-07,99,57.0,,0.57,56.42999999999999
2017-12-08,83,57.0,,0.57,47.309999999999995
2017-12-09,75,57.0,,0.57,42.74999999999999
2017-12-10,76,57.0,,0.57,43.31999999999999
2017-12-11,94,57.0,,0.57,53.58
2017-12-12,100,57.0,,0.57,56.99999999999999
2017-12-13,98,57.0,,0.57,55.85999999999999
2017-12-14,96,57.0,,0.57,54.72
2017-12-15,87,57.0,,0.57,49.589999999999996
2017-12-16,72,57.0,,0.57,41.04
2017-12-17,62,57.0,,0.57,35.339999999999996
2017-12-18,87,57.0,,0.57,49.589999999999996
2017-12-19,88,57.0,,0.57,50.16
2017-12-20,92,57.0,,0.57,52.44
2017-12-21,88,57.0,,0.57,50.16
2017-12-22,75,57.0,,0.57,42.74999999999999
