date,TTWO_unscaled,TTWO_monthly,isPartial,scale,TTWO
2017-12-01,58,31.0,False,0.31,17.98
2017-12-02,8,31.0,,0.31,2.48
2017-12-03,23,31.0,,0.31,7.13
2017-12-04,69,31.0,,0.31,21.39
2017-12-05,100,31.0,,0.31,31.0
2017-12-06,45,31.0,,0.31,13.95
2017-12-07,70,31.0,,0.31,21.7
2017-12-08,52,31.0,,0.31,16.12
2017-12-09,8,31.0,,0.31,2.48
2017-12-10,0,31.0,,0.31,0.0
2017-12-11,50,31.0,,0.31,15.5
2017-12-12,25,31.0,,0.31,7.75
2017-12-13,44,31.0,,0.31,13.64
2017-12-14,39,31.0,,0.31,12.09
2017-12-15,40,31.0,,0.31,12.4
2017-12-16,16,31.0,,0.31,4.96
2017-12-17,8,31.0,,0.31,2.48
