date,MF_unscaled,MF_monthly,isPartial,scale,MF
2017-01-22,74,12.0,,0.12,8.879999999999999
2017-01-23,94,12.0,,0.12,11.28
2017-01-24,85,12.0,,0.12,10.2
2017-01-25,87,12.0,,0.12,10.44
2017-01-26,81,12.0,,0.12,9.719999999999999
2017-01-27,84,12.0,,0.12,10.08
2017-01-28,81,12.0,,0.12,9.719999999999999
2017-01-29,85,12.0,,0.12,10.2
2017-01-30,88,12.0,,0.12,10.559999999999999
2017-01-31,80,12.0,,0.12,9.6
2017-02-01,89,12.0,False,0.12,10.68
2017-02-02,79,12.0,,0.12,9.48
2017-02-03,73,12.0,,0.12,8.76
2017-02-04,81,12.0,,0.12,9.719999999999999
2017-02-05,87,12.0,,0.12,10.44
2017-02-06,81,12.0,,0.12,9.719999999999999
2017-02-07,76,12.0,,0.12,9.12
2017-02-08,100,12.0,,0.12,12.0
2017-02-09,78,12.0,,0.12,9.36
2017-02-10,81,12.0,,0.12,9.719999999999999
2017-02-11,80,12.0,,0.12,9.6
2017-02-12,86,12.0,,0.12,10.32
2017-02-13,92,12.0,,0.12,11.04
2017-02-14,84,12.0,,0.12,10.08
2017-02-15,91,12.0,,0.12,10.92
2017-02-16,75,12.0,,0.12,9.0
2017-02-17,73,12.0,,0.12,8.76
2017-02-18,90,12.0,,0.12,10.799999999999999
2017-02-19,74,12.0,,0.12,8.879999999999999
2017-02-20,86,12.0,,0.12,10.32
2017-02-21,75,12.0,,0.12,9.0
2017-02-22,88,12.0,,0.12,10.559999999999999
2017-02-23,77,12.0,,0.12,9.24
2017-02-24,76,12.0,,0.12,9.12
2017-02-25,85,12.0,,0.12,10.2
2017-02-26,75,12.0,,0.12,9.0
2017-02-27,80,12.0,,0.12,9.6
2017-02-28,77,12.0,,0.12,9.24
2017-03-01,77,13.0,False,0.13,10.01
2017-03-02,76,13.0,,0.13,9.88
2017-03-03,84,13.0,,0.13,10.92
2017-03-04,100,13.0,,0.13,13.0
2017-03-05,77,13.0,,0.13,10.01
2017-03-06,70,13.0,,0.13,9.1
2017-03-07,80,13.0,,0.13,10.4
2017-03-08,77,13.0,,0.13,10.01
2017-03-09,87,13.0,,0.13,11.31
2017-03-10,88,13.0,,0.13,11.440000000000001
2017-03-11,80,13.0,,0.13,10.4
2017-03-12,77,13.0,,0.13,10.01
2017-03-13,70,13.0,,0.13,9.1
2017-03-14,61,13.0,,0.13,7.930000000000001
2017-03-15,75,13.0,,0.13,9.75
2017-03-16,76,13.0,,0.13,9.88
2017-03-17,74,13.0,,0.13,9.620000000000001
2017-03-18,77,13.0,,0.13,10.01
2017-03-19,75,13.0,,0.13,9.75
2017-03-20,88,13.0,,0.13,11.440000000000001
2017-03-21,94,13.0,,0.13,12.22
2017-03-22,81,13.0,,0.13,10.530000000000001
2017-03-23,96,13.0,,0.13,12.48
2017-03-24,76,13.0,,0.13,9.88
2017-03-25,90,13.0,,0.13,11.700000000000001
2017-03-26,68,13.0,,0.13,8.84
2017-03-27,75,13.0,,0.13,9.75
2017-03-28,58,13.0,,0.13,7.54
2017-03-29,75,13.0,,0.13,9.75
2017-03-30,79,13.0,,0.13,10.27
2017-03-31,73,13.0,,0.13,9.49
2017-04-01,70,12.0,False,0.12,8.4
2017-04-02,68,12.0,,0.12,8.16
2017-04-03,72,12.0,,0.12,8.64
2017-04-04,73,12.0,,0.12,8.76
2017-04-05,67,12.0,,0.12,8.04
2017-04-06,69,12.0,,0.12,8.28
2017-04-07,77,12.0,,0.12,9.24
2017-04-08,69,12.0,,0.12,8.28
2017-04-09,72,12.0,,0.12,8.64
2017-04-10,73,12.0,,0.12,8.76
2017-04-11,73,12.0,,0.12,8.76
2017-04-12,69,12.0,,0.12,8.28
2017-04-13,100,12.0,,0.12,12.0
2017-04-14,73,12.0,,0.12,8.76
2017-04-15,70,12.0,,0.12,8.4
2017-04-16,62,12.0,,0.12,7.4399999999999995
2017-04-17,77,12.0,,0.12,9.24
2017-04-18,87,12.0,,0.12,10.44
2017-04-19,83,12.0,,0.12,9.959999999999999
2017-04-20,63,12.0,,0.12,7.56
2017-04-21,85,12.0,,0.12,10.2
2017-04-22,79,12.0,,0.12,9.48
2017-04-23,57,12.0,,0.12,6.84
2017-04-24,59,12.0,,0.12,7.08
2017-04-25,74,12.0,,0.12,8.879999999999999
2017-04-26,71,12.0,,0.12,8.52
2017-04-27,72,12.0,,0.12,8.64
2017-04-28,76,12.0,,0.12,9.12
2017-04-29,74,12.0,,0.12,8.879999999999999
2017-04-30,90,12.0,,0.12,10.799999999999999
2017-05-01,73,12.0,False,0.12,8.76
2017-05-02,91,12.0,,0.12,10.92
2017-05-03,72,12.0,,0.12,8.64
2017-05-04,86,12.0,,0.12,10.32
2017-05-05,100,12.0,,0.12,12.0
2017-05-06,92,12.0,,0.12,11.04
2017-05-07,69,12.0,,0.12,8.28
2017-05-08,80,12.0,,0.12,9.6
2017-05-09,75,12.0,,0.12,9.0
2017-05-10,77,12.0,,0.12,9.24
2017-05-11,72,12.0,,0.12,8.64
2017-05-12,80,12.0,,0.12,9.6
2017-05-13,78,12.0,,0.12,9.36
2017-05-14,70,12.0,,0.12,8.4
2017-05-15,86,12.0,,0.12,10.32
2017-05-16,65,12.0,,0.12,7.8
2017-05-17,88,12.0,,0.12,10.559999999999999
2017-05-18,81,12.0,,0.12,9.719999999999999
2017-05-19,63,12.0,,0.12,7.56
2017-05-20,78,12.0,,0.12,9.36
2017-05-21,72,12.0,,0.12,8.64
2017-05-22,76,12.0,,0.12,9.12
2017-05-23,87,12.0,,0.12,10.44
2017-05-24,70,12.0,,0.12,8.4
2017-05-25,70,12.0,,0.12,8.4
2017-05-26,88,12.0,,0.12,10.559999999999999
2017-05-27,83,12.0,,0.12,9.959999999999999
2017-05-28,61,12.0,,0.12,7.319999999999999
2017-05-29,81,12.0,,0.12,9.719999999999999
2017-05-30,64,12.0,,0.12,7.68
2017-05-31,70,12.0,,0.12,8.4
2017-06-01,92,12.0,False,0.12,11.04
2017-06-02,98,12.0,,0.12,11.76
2017-06-03,95,12.0,,0.12,11.4
2017-06-04,75,12.0,,0.12,9.0
2017-06-05,65,12.0,,0.12,7.8
2017-06-06,75,12.0,,0.12,9.0
2017-06-07,98,12.0,,0.12,11.76
2017-06-08,77,12.0,,0.12,9.24
2017-06-09,98,12.0,,0.12,11.76
2017-06-10,75,12.0,,0.12,9.0
2017-06-11,91,12.0,,0.12,10.92
2017-06-12,87,12.0,,0.12,10.44
2017-06-13,82,12.0,,0.12,9.84
2017-06-14,68,12.0,,0.12,8.16
2017-06-15,86,12.0,,0.12,10.32
2017-06-16,78,12.0,,0.12,9.36
2017-06-17,82,12.0,,0.12,9.84
2017-06-18,79,12.0,,0.12,9.48
2017-06-19,79,12.0,,0.12,9.48
2017-06-20,82,12.0,,0.12,9.84
2017-06-21,80,12.0,,0.12,9.6
2017-06-22,88,12.0,,0.12,10.559999999999999
2017-06-23,80,12.0,,0.12,9.6
2017-06-24,89,12.0,,0.12,10.68
2017-06-25,76,12.0,,0.12,9.12
2017-06-26,67,12.0,,0.12,8.04
2017-06-27,81,12.0,,0.12,9.719999999999999
2017-06-28,81,12.0,,0.12,9.719999999999999
2017-06-29,75,12.0,,0.12,9.0
2017-06-30,100,12.0,,0.12,12.0
2017-07-01,80,12.0,False,0.12,9.6
2017-07-02,53,12.0,,0.12,6.359999999999999
2017-07-03,67,12.0,,0.12,8.04
2017-07-04,80,12.0,,0.12,9.6
2017-07-05,75,12.0,,0.12,9.0
2017-07-06,76,12.0,,0.12,9.12
2017-07-07,58,12.0,,0.12,6.96
2017-07-08,76,12.0,,0.12,9.12
2017-07-09,99,12.0,,0.12,11.879999999999999
2017-07-10,85,12.0,,0.12,10.2
2017-07-11,74,12.0,,0.12,8.879999999999999
2017-07-12,85,12.0,,0.12,10.2
2017-07-13,70,12.0,,0.12,8.4
2017-07-14,91,12.0,,0.12,10.92
2017-07-15,71,12.0,,0.12,8.52
2017-07-16,80,12.0,,0.12,9.6
2017-07-17,88,12.0,,0.12,10.559999999999999
2017-07-18,100,12.0,,0.12,12.0
2017-07-19,70,12.0,,0.12,8.4
2017-07-20,79,12.0,,0.12,9.48
2017-07-21,86,12.0,,0.12,10.32
2017-07-22,85,12.0,,0.12,10.2
2017-07-23,82,12.0,,0.12,9.84
2017-07-24,80,12.0,,0.12,9.6
2017-07-25,84,12.0,,0.12,10.08
2017-07-26,100,12.0,,0.12,12.0
2017-07-27,90,12.0,,0.12,10.799999999999999
2017-07-28,66,12.0,,0.12,7.92
2017-07-29,86,12.0,,0.12,10.32
2017-07-30,72,12.0,,0.12,8.64
2017-07-31,72,12.0,,0.12,8.64
2017-08-01,67,13.0,False,0.13,8.71
2017-08-02,71,13.0,,0.13,9.23
2017-08-03,58,13.0,,0.13,7.54
2017-08-04,58,13.0,,0.13,7.54
2017-08-05,74,13.0,,0.13,9.620000000000001
2017-08-06,78,13.0,,0.13,10.14
2017-08-07,90,13.0,,0.13,11.700000000000001
2017-08-08,100,13.0,,0.13,13.0
2017-08-09,92,13.0,,0.13,11.96
2017-08-10,81,13.0,,0.13,10.530000000000001
2017-08-11,77,13.0,,0.13,10.01
2017-08-12,65,13.0,,0.13,8.450000000000001
2017-08-13,61,13.0,,0.13,7.930000000000001
2017-08-14,68,13.0,,0.13,8.84
2017-08-15,74,13.0,,0.13,9.620000000000001
2017-08-16,70,13.0,,0.13,9.1
2017-08-17,93,13.0,,0.13,12.09
2017-08-18,73,13.0,,0.13,9.49
2017-08-19,63,13.0,,0.13,8.19
2017-08-20,65,13.0,,0.13,8.450000000000001
