date,ACB_unscaled,ACB_monthly,isPartial,scale,ACB
2017-06-09,100,4.0,,0.04,4.0
2017-06-10,6,4.0,,0.04,0.24
2017-06-11,46,4.0,,0.04,1.84
2017-06-12,37,4.0,,0.04,1.48
2017-06-13,31,4.0,,0.04,1.24
2017-06-14,57,4.0,,0.04,2.2800000000000002
2017-06-15,54,4.0,,0.04,2.16
2017-06-16,71,4.0,,0.04,2.84
2017-06-17,32,4.0,,0.04,1.28
2017-06-18,26,4.0,,0.04,1.04
2017-06-19,84,4.0,,0.04,3.36
2017-06-20,55,4.0,,0.04,2.2
2017-06-21,46,4.0,,0.04,1.84
2017-06-22,76,4.0,,0.04,3.04
2017-06-23,67,4.0,,0.04,2.68
2017-06-24,55,4.0,,0.04,2.2
2017-06-25,52,4.0,,0.04,2.08
2017-06-26,70,4.0,,0.04,2.8000000000000003
2017-06-27,88,4.0,,0.04,3.52
2017-06-28,34,4.0,,0.04,1.36
2017-06-29,23,4.0,,0.04,0.92
2017-06-30,40,4.0,,0.04,1.6
2017-07-01,64,3.0,False,0.03,1.92
2017-07-02,48,3.0,,0.03,1.44
2017-07-03,42,3.0,,0.03,1.26
2017-07-04,55,3.0,,0.03,1.65
2017-07-05,66,3.0,,0.03,1.98
2017-07-06,46,3.0,,0.03,1.38
2017-07-07,95,3.0,,0.03,2.85
2017-07-08,36,3.0,,0.03,1.08
2017-07-09,72,3.0,,0.03,2.16
2017-07-10,31,3.0,,0.03,0.9299999999999999
2017-07-11,46,3.0,,0.03,1.38
2017-07-12,62,3.0,,0.03,1.8599999999999999
2017-07-13,47,3.0,,0.03,1.41
2017-07-14,48,3.0,,0.03,1.44
2017-07-15,27,3.0,,0.03,0.8099999999999999
2017-07-16,27,3.0,,0.03,0.8099999999999999
2017-07-17,54,3.0,,0.03,1.6199999999999999
2017-07-18,93,3.0,,0.03,2.79
2017-07-19,47,3.0,,0.03,1.41
2017-07-20,61,3.0,,0.03,1.8299999999999998
2017-07-21,47,3.0,,0.03,1.41
2017-07-22,71,3.0,,0.03,2.13
2017-07-23,90,3.0,,0.03,2.6999999999999997
2017-07-24,54,3.0,,0.03,1.6199999999999999
2017-07-25,54,3.0,,0.03,1.6199999999999999
2017-07-26,46,3.0,,0.03,1.38
2017-07-27,53,3.0,,0.03,1.5899999999999999
2017-07-28,70,3.0,,0.03,2.1
2017-07-29,18,3.0,,0.03,0.54
2017-07-30,9,3.0,,0.03,0.27
2017-07-31,100,3.0,,0.03,3.0
2017-08-01,49,3.0,False,0.03,1.47
2017-08-02,47,3.0,,0.03,1.41
2017-08-03,30,3.0,,0.03,0.8999999999999999
2017-08-04,57,3.0,,0.03,1.71
2017-08-05,44,3.0,,0.03,1.3199999999999998
2017-08-06,37,3.0,,0.03,1.1099999999999999
2017-08-07,42,3.0,,0.03,1.26
2017-08-08,100,3.0,,0.03,3.0
2017-08-09,92,3.0,,0.03,2.76
2017-08-10,45,3.0,,0.03,1.3499999999999999
2017-08-11,38,3.0,,0.03,1.14
2017-08-12,58,3.0,,0.03,1.74
2017-08-13,7,3.0,,0.03,0.21
2017-08-14,69,3.0,,0.03,2.07
2017-08-15,25,3.0,,0.03,0.75
2017-08-16,31,3.0,,0.03,0.9299999999999999
2017-08-17,44,3.0,,0.03,1.3199999999999998
2017-08-18,50,3.0,,0.03,1.5
2017-08-19,36,3.0,,0.03,1.08
2017-08-20,7,3.0,,0.03,0.21
2017-08-21,47,3.0,,0.03,1.41
2017-08-22,43,3.0,,0.03,1.29
2017-08-23,62,3.0,,0.03,1.8599999999999999
2017-08-24,30,3.0,,0.03,0.8999999999999999
2017-08-25,69,3.0,,0.03,2.07
2017-08-26,35,3.0,,0.03,1.05
2017-08-27,20,3.0,,0.03,0.6
2017-08-28,49,3.0,,0.03,1.47
2017-08-29,78,3.0,,0.03,2.34
2017-08-30,72,3.0,,0.03,2.16
2017-08-31,30,3.0,,0.03,0.8999999999999999
2017-09-01,79,3.0,False,0.03,2.37
2017-09-02,30,3.0,,0.03,0.8999999999999999
2017-09-03,31,3.0,,0.03,0.9299999999999999
2017-09-04,38,3.0,,0.03,1.14
2017-09-05,57,3.0,,0.03,1.71
2017-09-06,64,3.0,,0.03,1.92
2017-09-07,33,3.0,,0.03,0.99
2017-09-08,41,3.0,,0.03,1.23
2017-09-09,77,3.0,,0.03,2.31
2017-09-10,67,3.0,,0.03,2.01
2017-09-11,66,3.0,,0.03,1.98
2017-09-12,50,3.0,,0.03,1.5
2017-09-13,83,3.0,,0.03,2.4899999999999998
2017-09-14,67,3.0,,0.03,2.01
2017-09-15,51,3.0,,0.03,1.53
2017-09-16,60,3.0,,0.03,1.7999999999999998
2017-09-17,20,3.0,,0.03,0.6
2017-09-18,66,3.0,,0.03,1.98
2017-09-19,74,3.0,,0.03,2.2199999999999998
2017-09-20,74,3.0,,0.03,2.2199999999999998
