date,INTC_unscaled,INTC_monthly,isPartial,scale,INTC
2017-05-15,53,34.0,,0.34,18.02
2017-05-16,55,34.0,,0.34,18.700000000000003
2017-05-17,55,34.0,,0.34,18.700000000000003
2017-05-18,62,34.0,,0.34,21.080000000000002
2017-05-19,50,34.0,,0.34,17.0
2017-05-20,15,34.0,,0.34,5.1000000000000005
2017-05-21,13,34.0,,0.34,4.42
2017-05-22,61,34.0,,0.34,20.740000000000002
2017-05-23,47,34.0,,0.34,15.98
2017-05-24,50,34.0,,0.34,17.0
2017-05-25,54,34.0,,0.34,18.360000000000003
2017-05-26,48,34.0,,0.34,16.32
2017-05-27,11,34.0,,0.34,3.74
2017-05-28,9,34.0,,0.34,3.06
2017-05-29,13,34.0,,0.34,4.42
2017-05-30,52,34.0,,0.34,17.68
2017-05-31,50,34.0,,0.34,17.0
2017-06-01,56,30.0,False,0.3,16.8
2017-06-02,43,30.0,,0.3,12.9
2017-06-03,23,30.0,,0.3,6.8999999999999995
2017-06-04,15,30.0,,0.3,4.5
2017-06-05,42,30.0,,0.3,12.6
2017-06-06,40,30.0,,0.3,12.0
2017-06-07,55,30.0,,0.3,16.5
2017-06-08,52,30.0,,0.3,15.6
2017-06-09,64,30.0,,0.3,19.2
2017-06-10,18,30.0,,0.3,5.3999999999999995
2017-06-11,9,30.0,,0.3,2.6999999999999997
2017-06-12,68,30.0,,0.3,20.4
2017-06-13,67,30.0,,0.3,20.099999999999998
2017-06-14,64,30.0,,0.3,19.2
2017-06-15,44,30.0,,0.3,13.2
2017-06-16,44,30.0,,0.3,13.2
2017-06-17,25,30.0,,0.3,7.5
2017-06-18,7,30.0,,0.3,2.1
2017-06-19,57,30.0,,0.3,17.099999999999998
2017-06-20,61,30.0,,0.3,18.3
2017-06-21,100,30.0,,0.3,30.0
2017-06-22,48,30.0,,0.3,14.399999999999999
2017-06-23,71,30.0,,0.3,21.3
2017-06-24,21,30.0,,0.3,6.3
2017-06-25,14,30.0,,0.3,4.2
2017-06-26,71,30.0,,0.3,21.3
2017-06-27,65,30.0,,0.3,19.5
2017-06-28,52,30.0,,0.3,15.6
2017-06-29,75,30.0,,0.3,22.5
2017-06-30,36,30.0,,0.3,10.799999999999999
2017-07-01,3,35.0,False,0.35,1.0499999999999998
2017-07-02,4,35.0,,0.35,1.4
2017-07-03,21,35.0,,0.35,7.35
2017-07-04,13,35.0,,0.35,4.55
2017-07-05,40,35.0,,0.35,14.0
2017-07-06,30,35.0,,0.35,10.5
2017-07-07,29,35.0,,0.35,10.149999999999999
2017-07-08,10,35.0,,0.35,3.5
2017-07-09,10,35.0,,0.35,3.5
2017-07-10,39,35.0,,0.35,13.649999999999999
