date,ZM_unscaled,ZM_monthly,isPartial,scale,ZM
2017-06-18,34,4.0,,0.04,1.36
2017-06-19,55,4.0,,0.04,2.2
2017-06-20,70,4.0,,0.04,2.8000000000000003
2017-06-21,36,4.0,,0.04,1.44
2017-06-22,89,4.0,,0.04,3.56
2017-06-23,63,4.0,,0.04,2.52
2017-06-24,43,4.0,,0.04,1.72
2017-06-25,45,4.0,,0.04,1.8
2017-06-26,47,4.0,,0.04,1.8800000000000001
2017-06-27,48,4.0,,0.04,1.92
2017-06-28,39,4.0,,0.04,1.56
2017-06-29,69,4.0,,0.04,2.7600000000000002
2017-06-30,40,4.0,,0.04,1.6
2017-07-01,100,4.0,False,0.04,4.0
2017-07-02,46,4.0,,0.04,1.84
2017-07-03,31,4.0,,0.04,1.24
2017-07-04,33,4.0,,0.04,1.32
2017-07-05,80,4.0,,0.04,3.2
2017-07-06,47,4.0,,0.04,1.8800000000000001
2017-07-07,57,4.0,,0.04,2.2800000000000002
2017-07-08,33,4.0,,0.04,1.32
2017-07-09,22,4.0,,0.04,0.88
2017-07-10,47,4.0,,0.04,1.8800000000000001
2017-07-11,28,4.0,,0.04,1.12
2017-07-12,47,4.0,,0.04,1.8800000000000001
2017-07-13,38,4.0,,0.04,1.52
2017-07-14,67,4.0,,0.04,2.68
2017-07-15,88,4.0,,0.04,3.52
2017-07-16,55,4.0,,0.04,2.2
2017-07-17,66,4.0,,0.04,2.64
2017-07-18,66,4.0,,0.04,2.64
2017-07-19,38,4.0,,0.04,1.52
2017-07-20,74,4.0,,0.04,2.96
2017-07-21,38,4.0,,0.04,1.52
2017-07-22,21,4.0,,0.04,0.84
2017-07-23,44,4.0,,0.04,1.76
2017-07-24,56,4.0,,0.04,2.24
2017-07-25,65,4.0,,0.04,2.6
2017-07-26,28,4.0,,0.04,1.12
2017-07-27,28,4.0,,0.04,1.12
2017-07-28,47,4.0,,0.04,1.8800000000000001
2017-07-29,33,4.0,,0.04,1.32
2017-07-30,11,4.0,,0.04,0.44
2017-07-31,28,4.0,,0.04,1.12
2017-08-01,59,3.0,False,0.03,1.77
2017-08-02,65,3.0,,0.03,1.95
2017-08-03,17,3.0,,0.03,0.51
2017-08-04,9,3.0,,0.03,0.27
2017-08-05,30,3.0,,0.03,0.8999999999999999
2017-08-06,51,3.0,,0.03,1.53
2017-08-07,25,3.0,,0.03,0.75
2017-08-08,41,3.0,,0.03,1.23
2017-08-09,25,3.0,,0.03,0.75
2017-08-10,36,3.0,,0.03,1.08
2017-08-11,44,3.0,,0.03,1.3199999999999998
2017-08-12,10,3.0,,0.03,0.3
2017-08-13,50,3.0,,0.03,1.5
2017-08-14,61,3.0,,0.03,1.8299999999999998
2017-08-15,34,3.0,,0.03,1.02
2017-08-16,51,3.0,,0.03,1.53
2017-08-17,43,3.0,,0.03,1.29
2017-08-18,69,3.0,,0.03,2.07
2017-08-19,100,3.0,,0.03,3.0
2017-08-20,50,3.0,,0.03,1.5
2017-08-21,16,3.0,,0.03,0.48
2017-08-22,85,3.0,,0.03,2.55
2017-08-23,9,3.0,,0.03,0.27
2017-08-24,42,3.0,,0.03,1.26
2017-08-25,17,3.0,,0.03,0.51
2017-08-26,20,3.0,,0.03,0.6
2017-08-27,47,3.0,,0.03,1.41
2017-08-28,34,3.0,,0.03,1.02
2017-08-29,8,3.0,,0.03,0.24
2017-08-30,50,3.0,,0.03,1.5
2017-08-31,50,3.0,,0.03,1.5
2017-09-01,48,4.0,False,0.04,1.92
2017-09-02,22,4.0,,0.04,0.88
2017-09-03,22,4.0,,0.04,0.88
2017-09-04,41,4.0,,0.04,1.6400000000000001
2017-09-05,62,4.0,,0.04,2.48
2017-09-06,43,4.0,,0.04,1.72
2017-09-07,89,4.0,,0.04,3.56
2017-09-08,72,4.0,,0.04,2.88
2017-09-09,63,4.0,,0.04,2.52
2017-09-10,62,4.0,,0.04,2.48
2017-09-11,71,4.0,,0.04,2.84
2017-09-12,54,4.0,,0.04,2.16
2017-09-13,63,4.0,,0.04,2.52
2017-09-14,55,4.0,,0.04,2.2
2017-09-15,37,4.0,,0.04,1.48
2017-09-16,44,4.0,,0.04,1.76
2017-09-17,75,4.0,,0.04,3.0
2017-09-18,36,4.0,,0.04,1.44
2017-09-19,72,4.0,,0.04,2.88
2017-09-20,45,4.0,,0.04,1.8
2017-09-21,45,4.0,,0.04,1.8
2017-09-22,19,4.0,,0.04,0.76
2017-09-23,99,4.0,,0.04,3.96
2017-09-24,32,4.0,,0.04,1.28
2017-09-25,36,4.0,,0.04,1.44
2017-09-26,27,4.0,,0.04,1.08
2017-09-27,100,4.0,,0.04,4.0
2017-09-28,55,4.0,,0.04,2.2
2017-09-29,37,4.0,,0.04,1.48
2017-09-30,56,4.0,,0.04,2.24
2017-10-01,60,4.0,False,0.04,2.4
2017-10-02,40,4.0,,0.04,1.6
2017-10-03,82,4.0,,0.04,3.2800000000000002
2017-10-04,42,4.0,,0.04,1.68
2017-10-05,59,4.0,,0.04,2.36
2017-10-06,34,4.0,,0.04,1.36
2017-10-07,10,4.0,,0.04,0.4
2017-10-08,10,4.0,,0.04,0.4
2017-10-09,74,4.0,,0.04,2.96
2017-10-10,81,4.0,,0.04,3.24
2017-10-11,82,4.0,,0.04,3.2800000000000002
2017-10-12,25,4.0,,0.04,1.0
2017-10-13,60,4.0,,0.04,2.4
2017-10-14,70,4.0,,0.04,2.8000000000000003
2017-10-15,10,4.0,,0.04,0.4
2017-10-16,100,4.0,,0.04,4.0
2017-10-17,59,4.0,,0.04,2.36
2017-10-18,50,4.0,,0.04,2.0
2017-10-19,43,4.0,,0.04,1.72
2017-10-20,52,4.0,,0.04,2.08
2017-10-21,31,4.0,,0.04,1.24
2017-10-22,59,4.0,,0.04,2.36
2017-10-23,49,4.0,,0.04,1.96
2017-10-24,33,4.0,,0.04,1.32
2017-10-25,50,4.0,,0.04,2.0
2017-10-26,50,4.0,,0.04,2.0
2017-10-27,26,4.0,,0.04,1.04
2017-10-28,30,4.0,,0.04,1.2
2017-10-29,10,4.0,,0.04,0.4
2017-10-30,33,4.0,,0.04,1.32
2017-10-31,51,4.0,,0.04,2.04
2017-11-01,17,4.0,False,0.04,0.68
2017-11-02,90,4.0,,0.04,3.6
2017-11-03,60,4.0,,0.04,2.4
2017-11-04,70,4.0,,0.04,2.8000000000000003
2017-11-05,39,4.0,,0.04,1.56
2017-11-06,58,4.0,,0.04,2.32
2017-11-07,25,4.0,,0.04,1.0
2017-11-08,65,4.0,,0.04,2.6
2017-11-09,50,4.0,,0.04,2.0
2017-11-10,18,4.0,,0.04,0.72
2017-11-11,40,4.0,,0.04,1.6
2017-11-12,39,4.0,,0.04,1.56
2017-11-13,57,4.0,,0.04,2.2800000000000002
2017-11-14,57,4.0,,0.04,2.2800000000000002
2017-11-15,33,4.0,,0.04,1.32
2017-11-16,41,4.0,,0.04,1.6400000000000001
2017-11-17,51,4.0,,0.04,2.04
2017-11-18,50,4.0,,0.04,2.0
